Date,^GSPC,^NDX,^DJI,^KS11,^N225,000001.SS,^HSI,^STOXX50E,^BVSP,^NSEI,GC=F,SI=F,CL=F,BZ=F,NG=F,HG=F,ZC=F,ZW=F,BTC-USD,ETH-USD,DX-Y.NYB,EURUSD=X,USDJPY=X,USDKRW=X,GBPUSD=X,CNY=X
2024-04-22,5010.60009765625,17210.890625,38239.98046875,2629.43994140625,37438.609375,3044.594970703125,16511.689453125,4936.85009765625,125573.0,22336.400390625,2332.199951171875,27.21299934387207,82.8499984741211,87.0,1.7910000085830688,4.500500202178955,439.75,570.25,66837.6796875,3201.652099609375,106.08000183105469,1.065825343132019,154.63999938964844,1373.9300537109375,1.2375777959823608,7.2393999099731445
2024-04-23,5070.5498046875,17471.470703125,38503.69140625,2623.02001953125,37552.16015625,3021.97802734375,16828.9296875,5008.169921875,125148.0,22368.0,2327.699951171875,27.33099937438965,83.36000061035156,88.41999816894531,1.812000036239624,4.490499973297119,443.0,585.0,66407.2734375,3219.91162109375,105.69000244140625,1.065405249595642,154.81300354003906,1378.8399658203125,1.2350252866744995,7.242499828338623
2024-04-24,5071.6298828125,17526.80078125,38460.921875,2675.75,38460.078125,3044.822021484375,17201.26953125,4989.8798828125,124741.0,22402.400390625,2324.5,27.323999404907227,82.80999755859375,88.0199966430664,1.652999997138977,4.4670000076293945,437.75,594.5,64276.8984375,3139.80517578125,105.86000061035156,1.0704345703125,154.74400329589844,1370.47998046875,1.2453300952911377,7.244500160217285
2024-04-25,5048.419921875,17430.5,38085.80078125,2628.6201171875,37628.48046875,3052.89990234375,17284.5390625,4939.009765625,124646.0,22570.349609375,2329.800048828125,27.341999053955078,83.56999969482422,89.01000213623047,1.6380000114440918,4.570499897003174,441.0,602.25,64481.70703125,3156.509521484375,105.5999984741211,1.0699878931045532,155.25900268554688,1376.969970703125,1.2459505796432495,7.244200229644775
2024-04-26,5099.9599609375,17718.30078125,38239.66015625,2656.330078125,37934.76171875,3088.635986328125,17651.150390625,5006.85009765625,126526.0,22419.94921875,2334.800048828125,27.240999221801758,83.8499984741211,89.5,1.6139999628067017,4.568999767303467,440.0,603.25,63755.3203125,3130.164794921875,105.94000244140625,1.072961449623108,155.5970001220703,1371.699951171875,1.2509069442749023,7.23859977722168
2024-04-27,,,,,,,,,,,,,,,,,,,63419.140625,3252.168212890625,,,,,,
2024-04-28,,,,,,,,,,,,,,,,,,,63113.23046875,3262.774658203125,,,,,,
2024-04-29,5116.169921875,17782.720703125,38386.08984375,2687.43994140625,,3113.04296875,17746.91015625,4981.08984375,127352.0,22643.400390625,2345.39990234375,27.37299919128418,82.62999725341797,88.4000015258789,2.0299999713897705,4.658999919891357,439.25,590.25,63841.12109375,3215.428955078125,105.58000183105469,1.0706866979599,158.2239990234375,1377.0899658203125,1.2510477304458618,7.24459981918335
2024-04-30,5035.68994140625,17440.689453125,37815.921875,2692.06005859375,38405.66015625,3104.824951171875,17763.029296875,4921.22021484375,125924.0,22604.849609375,2291.39990234375,26.391000747680664,81.93000030517578,87.86000061035156,1.9910000562667847,4.564499855041504,439.5,585.0,60636.85546875,3012.286865234375,106.22000122070312,1.0715701580047607,156.31399536132812,1374.6400146484375,1.2559815645217896,7.23769998550415
2024-05-01,5018.39013671875,17318.55078125,37903.2890625,,38274.05078125,,,,,,2299.89990234375,26.48900032043457,79.0,83.44000244140625,1.9320000410079956,4.552499771118164,443.25,581.5,58254.01171875,2969.78466796875,105.76000213623047,1.0666552782058716,157.7220001220703,1385.4599609375,1.2490164041519165,7.240699768066406
2024-05-02,5064.2001953125,17541.5390625,38225.66015625,2683.64990234375,38236.0703125,,18207.130859375,4890.60986328125,127122.0,22648.19921875,2299.199951171875,26.58300018310547,78.94999694824219,83.66999816894531,2.0350000858306885,4.49399995803833,452.0,586.5,59123.43359375,2988.16845703125,105.30000305175781,1.0721560716629028,155.70399475097656,1375.0,1.2539342641830444,7.2399001121521
2024-05-03,5127.7900390625,17890.80078125,38675.6796875,2676.6298828125,,,18475.919921875,4921.47998046875,128509.0,22475.849609375,2299.0,26.44499969482422,78.11000061035156,82.95999908447266,2.1419999599456787,4.573500156402588,447.0,606.0,62889.8359375,3103.5419921875,105.02999877929688,1.073306918144226,153.0449981689453,1364.6400146484375,1.2540600299835205,7.238399982452393
2024-05-04,,,,,,,,,,,,,,,,,,,63891.47265625,3117.576416015625,,,,,,
2024-05-05,,,,,,,,,,,,,,,,,,,64031.1328125,3137.2490234375,,,,,,
2024-05-06,5180.740234375,18093.5703125,38852.26953125,,,3140.719970703125,18578.30078125,4956.9599609375,128466.0,22442.69921875,2321.60009765625,27.368999481201172,78.4800033569336,83.33000183105469,2.194999933242798,4.634500026702881,457.0,632.25,63161.94921875,3062.728759765625,105.05000305175781,1.0758124589920044,153.5659942626953,1355.050048828125,1.2541072368621826,7.236199855804443
2024-05-07,5187.7001953125,18091.44921875,38884.26171875,2734.360107421875,38835.1015625,3147.738037109375,18479.369140625,5016.10009765625,129210.0,22302.5,2315.199951171875,27.30299949645996,78.37999725341797,83.16000366210938,2.2070000171661377,4.625500202178955,453.75,624.75,62334.81640625,3006.5771484375,105.41000366210938,1.0767507553100586,154.23699951171875,1352.1700439453125,1.2559815645217896,7.208000183105469
2024-05-08,5187.669921875,18085.009765625,39056.390625,2745.050048828125,38202.37109375,3128.47998046875,18313.859375,5038.169921875,129481.0,22302.5,2313.60009765625,27.361000061035156,78.98999786376953,83.58000183105469,2.187000036239624,4.561999797821045,445.5,616.0,61187.94140625,2973.6572265625,105.55000305175781,1.0750491619110107,154.7480010986328,1357.72998046875,1.25014066696167,7.218400001525879
2024-05-09,5214.080078125,18113.4609375,39387.76171875,2712.139892578125,38073.98046875,3154.320068359375,18537.810546875,,128188.0,21957.5,2332.10009765625,28.131999969482422,79.26000213623047,83.87999725341797,2.3010001182556152,4.607500076293945,442.75,619.75,63049.9609375,3036.0205078125,105.2300033569336,1.0746910572052002,155.41900634765625,1361.93994140625,1.2493284940719604,7.223800182342529
2024-05-10,5222.68017578125,18161.1796875,39512.83984375,2727.6298828125,38229.109375,3154.547119140625,18963.6796875,5085.080078125,127600.0,22055.19921875,2367.300048828125,28.274999618530273,78.26000213623047,82.79000091552734,2.252000093460083,4.69350004196167,455.75,645.75,60792.77734375,2909.791259765625,105.30999755859375,1.078515887260437,155.38900756835938,1365.4000244140625,1.2525677680969238,7.218699932098389
2024-05-11,,,,,,,,,,,,,,,,,,,60793.7109375,2911.60205078125,,,,,,
2024-05-12,,,,,,,,,,,,,,,,,,,61448.39453125,2928.701904296875,,,,,,
